Hash,Hashcat Mode,Character Length,Character Set,Notes,Example
CRC-16,,4,"hexadecimal (0-9, a-f, A-F)",,24ca
CRC-16-CCITT,,4,"hexadecimal (0-9, a-f, A-F)",,90ed
FCS-16,,4,"hexadecimal (0-9, a-f, A-F)",,e351
ELF-32,,8,"hexadecimal (0-9, a-f, A-F)",,05678ae8
FCS-32,,8,"hexadecimal (0-9, a-f, A-F)",,11cd82ed
Fletcher-32,,8,"hexadecimal (0-9, a-f, A-F)",,a4013807
FNV-32,,8,"hexadecimal (0-9, a-f, A-F)",,043ef075
Adler-32,,8,"hexadecimal (0-9, a-f, A-F)",,5403910e
CRC-32,,8,"hexadecimal (0-9, a-f, A-F)",,9abfd710
CRC-32B,,8,"hexadecimal (0-9, a-f, A-F)",,8324b4cc
GHash-32-3,,8,"hexadecimal (0-9, a-f, A-F)",,1a55c7c3
GHash-32-5,,8,"hexadecimal (0-9, a-f, A-F)",,1408f613
Blowfish(Eggdrop),,13,"alphanumeric (0-9, a-z, A-Z), '/', '.'",Starts with +,+E0CJq1BGmDn/
"descrypt, DES(Unix), Traditional DES",1500,13,"alphanumeric (0-9, a-z, A-Z), '/', '.'",,sa3tHJ3/KuYvI
CRC-64,,16,"hexadecimal (0-9, a-f, A-F)",,3461b5f4e1840c46
"substr(md5($pass),0,16)",,16,"hexadecimal (0-9, a-f, A-F)",,e2fc714c4727ee93
"substr(md5($pass),16,16)",,16,"hexadecimal (0-9, a-f, A-F)",,95f324cd2e7f331f
"substr(md5($pass),8,16)",,16,"hexadecimal (0-9, a-f, A-F)",,4727ee9395f324cd
Cisco-PIX MD5,2400,16,"alphanumeric (0-9, a-z, A-Z), '/', '.'",,Itn9sO/yhumXJ7Jv
"MySQL, MySQL323",200,16,"hexadecimal (0-9, a-f, A-F)",,2f18d4d923ccae07
SAPB,,16,"hexadecimal (0-9, a-f, A-F)",,4c4b489b3d3e3ee5
Half MD5,5100,16,"hexadecimal (0-9, a-f, A-F)",,8743b52063cd8409
"substr(md5($pass),12,20)",,20,"hexadecimal (0-9, a-f, A-F)",,ee9395f324cd2e7f331f
CRC-96(ZIP),,24,"hexadecimal (0-9, a-f, A-F)",,45b9d237daacd099c58a0384
LM,3000,32,"hexadecimal (0-9, a-f, A-F)",,f40722f25bd1cf99a74f3289190ea32a
Skein-256(128),,32,"hexadecimal (0-9, a-f, A-F)",,8a33fdcc414954540140569b9ca04969
Skein-512(128),,32,"hexadecimal (0-9, a-f, A-F)",,e88eba6045f6a00672c398e2e2ce4959
strrev(md5($pass)),,32,"hexadecimal (0-9, a-f, A-F)",,f133f7e2dc423f5939ee7274c417cf2e
strrev(md5(strrev(md5($pass)))),,32,"hexadecimal (0-9, a-f, A-F)",,4cb845d113f9c628c3a97551c17d1c96
10 x md5($pass),,32,"hexadecimal (0-9, a-f, A-F)",,1f16a6c017f12c1539c4947e234de78a
11 x md5($pass),,32,"hexadecimal (0-9, a-f, A-F)",,02a161a8fb9666ad1de7029668df86c1
12 x md5($pass),,32,"hexadecimal (0-9, a-f, A-F)",,b9d10f268fdc769283fb585b34c93901
6 x md5($pass),,32,"hexadecimal (0-9, a-f, A-F)",,0f62265227df1b6d6deec36ab4bc5e76
7 x md5($pass),,32,"hexadecimal (0-9, a-f, A-F)",,670df58df5a2ec63b0a33e054418105a
